order	kind	packageId	name	workshopId	declaredVersion	localFolder
1	workshop	brrainz.harmony	Harmony	2009463077	2.4.2.0	
2	official	ludeon.rimworld	Core			
3	official	ludeon.rimworld.royalty	Royalty			
4	official	ludeon.rimworld.ideology	Ideology			
5	official	ludeon.rimworld.biotech	Biotech			
6	official	ludeon.rimworld.anomaly	Anomaly			
7	official	ludeon.rimworld.odyssey	Odyssey			
8	workshop	unlimitedhugs.hugslib	HugsLib	818773962		
9	workshop	unlimitedhugs.allowtool	Allow Tool	761421485		
10	workshop	voult.betterpawncontrol	Better Pawn Control	1541460369		
11	workshop	adaptive.storage.framework	Adaptive Storage Framework	3033901359		
12	workshop	imranfish.xmlextensions	XML Extensions	2574315206		
13	workshop	oskarpotocki.vanillafactionsexpanded.core	Vanilla Expanded Framework	2023507013		
14	workshop	oark.oberoniaaurea.framework	[OA]Oberonia Aurea Framework	3713589764		
15	workshop	ancot.ancotlibrary	Ancot Library	2988801276		
16	workshop	ariandel.ariandellibrary	Ariandel Library	3665997350		
17	workshop	hailuan.customquestframework	Custom Quest Framework	2978572782	2.1	
18	workshop	ccl.patchoperation.highlander	PatchOperationHighlander	2552002158		
19	workshop	erdelf.humanoidalienraces	Humanoid Alien Races	839005762		
20	workshop	eoralmilk.meowframework	Meow Framework	3247685844		
21	workshop	har.mugirlrace	Mugirl Race	3578882219		
22	workshop	mlie.nwnrealfogofwar	(NWN) Real Fog of War (Continued)	3391128917	1.6.13	
23	workshop	defaults.1trickpwnyta	1trickPwnyta's Defaults	3285178686	1.9.4a	
24	workshop	odysseypatch.1trickpwnyta	1trickPwnyta's Odyssey Patch	3578444636	1.4.2	
25	workshop	arylice.rimworld.automaticstumpchopping	[ARY] Automatic Stump Chopping [1.5 - 1.6]	3357749890	1.0	
26	workshop	frozensnowfox.filthvanisheswithrainandtime	[FSF] Filth Vanishes With Rain And Time	1508341791		
27	workshop	derekbickley.ltocolonygroupsfinal	[LTO] Colony Groups	2345493945		
28	workshop	nals.facialanimation	[NL] Facial Animation - WIP	1635901197		
29	workshop	oganesson.secondary.immune.response	[Og] Secondary Immune Response	2920337086		
30	workshop	rh2.faction.void	[RH2] Faction: V.O.I.D.	2883208829		
31	workshop	rh2.void.storyteller	[RH2] V.O.I.D. Storyteller	2130957394		
32	workshop	sbz.neatstoragefridge	[sbz] Fridge	3486264784		
33	workshop	sbz.neatstorage	[sbz] Neat Storage	3416243474		
34	workshop	seekiworksmod.no17	AAAA(Allowed Area Automatic Adapter)	3264193512	4.1.0.3	
35	workshop	mlie.allmemoriesfade	All Memories Fade	2800155563	1.6.0	
36	workshop	avilmask.animalcontrols	Animal Controls	2426119067		
37	workshop	oblitus.animalslogic	Animals Logic	1098354593		
38	workshop	automatic.autolinks	Auto links	2059389912		
39	workshop	rabiosus.autoblink	AutoBlink	3493889625		
40	workshop	meltup.beautifuloutdoors	Beautiful Outdoors	2011794898		
41	workshop	inertialmage.beautystatmod	Beauty Matters	2896613924		
42	workshop	gwinnbleidd.mothballedanddeadpawns	Better GC: Mothballed and World Pawns	2982026860		
43	workshop	falconne.bwm	Better Workbench Management	935982361	1.6.1.3	
44	workshop	redmattis.biggergravship	Bigger Gravships (and other Odyssey spaceship related settings)	3522759531		
45	workshop	udon.bouquetoflove	Bouquet of Love	2590854091		
46	workshop	buildfromstorage.programmerlily.com	Build From Storage	3523011187	1.0.4	
47	workshop	brrainz.cameraplus	Camera+	867467808	3.4.7.0	
48	workshop	tot.celetech.mkiii	CeleTech Arsenal MKIII	3446237098		
49	workshop	tot.celetech.sub.fbs	CeleTech Subsonic Disruptor	3503450120		
50	workshop	void.charactereditor	Character Editor	1874644848	1.6.1	
51	workshop	kirimin.chatlogoverlay	Chatlog Overlay	3562954061		
52	workshop	udon.childbirthprayer	Child Birth Prayer	2878376981		
53	workshop	kearril.choosewheretoland	Choose Where To Land	3537970831		
54	workshop	leo.cleanresearchsort	Clean Research Sort	3566639513		
55	workshop	godlyannihilator.completelyclueless	Completely Clueless	3227796435		
56	workshop	merthsoft.designatorshapes	Designator Shapes	1235181370		
57	workshop	garwel.destroyitem	Destroy Item	2423311270		
58	workshop	hailuan.voiduniverse	Dlc collaboration - Void universe	3587277884		
59	workshop	gguake.ai.dsfi	Do Something for Idle	1896806569		
60	workshop	assssssqwww.dsfiasqmorejob	Do Something for Idle - More Actions	3689911226		
61	workshop	dracoix.doormat.r12a	Door Mat	1505423207		
62	workshop	dubwise.dubsmintmenus	Dubs Mint Menus	1446523594	1.3.1247	
63	workshop	dubwise.rimatomics	Dubs Rimatomics	1127530465	1.7.3551	
64	workshop	thumb.durablespiketraps	Durable Spike Traps	3213994174		
65	workshop	trigger.eliteraid	Elite Raid 精英化袭击	3492954974		
66	workshop	slimesenpai.endlessgrowth	EndlessGrowth	2894401734		
67	workshop	fxz.glitterworlddestroyer.mk5	Glitterworld Destroyer 5 - Mechanoid Addon	3550544871		
68	workshop	telefonmast.graphicssettings	Graphics Settings+	1678847247		
69	workshop	mlie.hiddenenemybio	Hidden Enemy Bio (Continued)	3290742314	1.6.1	
70	workshop	ilyvion.laboratory	ilyvion's Laboratory	3296362231	0.24.0	
71	workshop	heimu.rimmomotalk	The Grand Library of 「Mirrored」	3782667656		
72	local	local.iristexturebudget	Iris Texture Budget			IrisTextureBudget
73	workshop	aoba.fortress.industrial.concrete	Industrial concrete	2888037450		
74	workshop	jaxe.bubbles	Interaction Bubbles	1516158345		
75	workshop	linnun.keepconverting	Keep Converting	3461478214		
76	workshop	kahdeg.killfeed	Killfeed	1362098265		
77	workshop	nep.landonanything	Land On Anything	3545384484		
78	workshop	ordpus.leftovers	Leftovers	3042607045		
79	workshop	erdelf.minifyeverything	MinifyEverything	872762753		
80	workshop	msm.moodstressandmotivation	Mood Stress and Motivation	3558393733		
81	workshop	doll.nevergeneraterelations	Never Generate Relations	2891797130		
82	workshop	ordpus.noexplosiononslaughter	No Explosion On Slaughter 移除屠宰死亡爆炸	2572993856		
83	workshop	cedaro.nohopelessromance	No Hopeless Romance	2964282061		
84	workshop	vesper.notmyfault	Not My Fault	2870045856		
85	workshop	arkymn.slowerpawntickrate	Performance - Slower Pawn Tick Rate	3524116050		
86	workshop	mehni.pickupandhaul	Pick Up And Haul	1279012058		
87	workshop	rsmaintain.vanya.polarisbloc.mechenemy	Polarisbloc - Mechenemy	2919759689		
88	workshop	ponpeco.pfkidsroom	Ponpeco Furnitures : Kids' Room	3367310887	1.7.3	
89	workshop	ponpeco.pfkschooldesk	Ponpeco Furnitures : School Desk	3367534692	1.2	
90	workshop	dawnsglow.qualcolor	Quality Colors (Continued)	3513846773		
91	workshop	hatti.qualitybuilder	QualityBuilder Unofficial 1.6	3512466087	1.6.013	
92	workshop	mlie.realdining	RealDining (Continued)	2280250569	1.6.0	
93	workshop	wemd.realisticdarknesslight	Realistic Darkness (Light)	1555355332		
94	workshop	ilyvion.realisticorbitaltrade	Realistic Orbital Trade	3236257897	0.12.0	
95	workshop	kongkim.researchdata	Research Data	3001121619		
96	workshop	brrainz.reversecommands	Reverse Commands	858744731	2.4.1.0	
97	workshop	jaxe.rimhud	RimHUD	1508850027		
98	workshop	maux36.rimpsyche	Rimpsyche - Personality Core	3535112473	1.0.43	
99	workshop	sandy.rpgstyleinventory.avilmask.revamped	RPG Style Inventory Revamped	2478833213		
100	workshop	memegoddess.runandgun	RunAndGun - Continued	3562365100		
101	workshop	stormshark.samesexivf	Samesex IVF	2878580643		
102	workshop	hellrevenger.scheduledarea	Scheduled Area	3225403693		
103	workshop	memegoddess.searchanddestroy	Search and Destroy (Continued)	3232242247		
104	workshop	raccooncuddler.showhair	Show Hair Under Stuff	3255379190		
105	workshop	mlie.showmeyourhands	Show Me Your Hands	2475965842	1.6.10	
106	workshop	sl4vp0wer.sleepmeditation.1.5	Sleep Meditation	3238976509		
107	workshop	owlchemist.smartfarming	Smart Farming	3220129183		
