file	modName	active	credentialFieldsRemoved
Mod_1098354593_AnimalsLogic.xml	Animals Logic	True	False
Mod_1127530465_RimatomicsMod.xml	Dubs Rimatomics	True	False
Mod_1235181370_DesignatorShapes.xml	Designator Shapes	True	False
Mod_1279012058_Modbase.xml	Pick Up And Haul	True	False
Mod_1319782555_SOMod.xml	Snap Out!	True	False
Mod_1362098265_ModData.xml	Killfeed	True	False
Mod_1446523594_DubsMintMenusMod.xml	Dubs Mint Menus	True	False
Mod_1516158345_Mod.xml	Interaction Bubbles	True	False
Mod_1541460369_BetterPawnControlMod.xml	Better Pawn Control	True	False
Mod_1561769193_CommonSense.xml	Common Sense	True	False
Mod_1635901197_FacialAnimationMod.xml	[NL] Facial Animation - WIP	True	False
Mod_1678847247_GraphicSetter.xml	Graphics Settings+	True	False
Mod_1722398508_MentalManagementMod.xml	Dubs Break Mod	True	False
Mod_1778821244_NonUnoPinata.xml	Non uno Pinata (don't drop items)	True	False
Mod_1896806569_DSFIMod.xml	Do Something for Idle	True	False
Mod_1938420742_VEEMod.xml	Vanilla Events Expanded	True	False
Mod_2023507013_OutpostsMod.xml	Vanilla Expanded Framework	True	False
Mod_2023507013_VFEGlobal.xml	Vanilla Expanded Framework	True	False
Mod_2038874626_Modbase.xml	not mapped to current active item	False	False
Mod_2075974335_KMSL_ModSettingDisplay.xml	kemomimihouse	True	False
Mod_2211305406_KemhouseMod.xml	kemomimihouse Kz	True	False
Mod_2280250569_ModMain.xml	RealDining (Continued)	True	False
Mod_2345493945_TacticalGroupsMod.xml	[LTO] Colony Groups	True	False
Mod_2423311270_DestroyItemMod.xml	Destroy Item	True	False
Mod_2426119067_AnimalControls.xml	Animal Controls	True	False
Mod_2451340446_InsectGirlMod.xml	虫娘 Insect Girls	True	False
Mod_2475965842_ShowMeYourHandsMod.xml	Show Me Your Hands	True	False
Mod_2477501851_Mincho_The_Mint_Choco_Slime_Mod.xml	Mincho, The Mint Choco Slime ~ HAR ver.	True	False
Mod_2478833213_Sandy_Detailed_RPG_Inventory.xml	RPG Style Inventory Revamped	True	False
Mod_2554469600_ArcaneTechnologyMod.xml	Arcane Technology	True	False
Mod_2572993856_NoExplosionOnSlaughterMod.xml	No Explosion On Slaughter 移除屠宰死亡爆炸	True	False
Mod_2574315206_XmlMod.xml	XML Extensions	True	False
Mod_2574995438_HardworkingMod.xml	kemomimihouse HardworkingKz	True	False
Mod_2654432921_RomanceOnTheRimModHandler.xml	Romance On The Rim	True	False
Mod_2664723367_PerformanceOptimizerMod.xml	Performance Optimizer	True	False
Mod_2682319213_MimikkoMod.xml	not mapped to current active item	False	False
Mod_2785616901_VanillaTradingExpandedMod.xml	Vanilla Trading Expanded	True	False
Mod_2842502659_PsycastsMod.xml	Vanilla Psycasts Expanded	True	False
Mod_2868389782_ResearchReinvented_SteppingStonesMod.xml	Research Reinvented: Stepping Stones	True	False
Mod_2868392160_ResearchReinventedMod.xml	Research Reinvented	True	False
Mod_2883208829_EnlistMod.xml	[RH2] Faction: V.O.I.D.	True	False
Mod_2883208829_VoidMod.xml	[RH2] Faction: V.O.I.D.	True	False
Mod_2894401734_EndlessGrowthMod.xml	EndlessGrowth	True	False
Mod_2896613924_BeautyStatSettingsMod.xml	Beauty Matters	True	False
Mod_2898431155_WeaponMasteryMod.xml	Weapon Mastery (Continued)	True	False
Mod_2910194921_FS_Mod.xml	not mapped to current active item	False	False
Mod_2937876372_ExportAndImportModSettingsMod.xml	not mapped to current active item	False	False
Mod_2944488802_Core.xml	Melee Animation	True	False
Mod_2964282061_NHR.xml	No Hopeless Romance	True	False
Mod_2976632810_ZMod.xml	WealthCorrector	True	False
Mod_2982026860_MothballedAndDeadPawnsMod.xml	Better GC: Mothballed and World Pawns	True	False
Mod_2988200143_Mod_KiiroRace.xml	Kiiro Race	True	False
Mod_2988801276_Mod_AncotLibrary.xml	Ancot Library	True	False
Mod_3001121619_ResearchDataMod.xml	Research Data	True	False
Mod_3033901359_AdaptiveStorageFrameworkMod.xml	Adaptive Storage Framework	True	False
Mod_3042607045_LeftoversMod.xml	Leftovers	True	False
Mod_3070780021_AlphaPrefabs_Mod.xml	not mapped to current active item	False	False
Mod_3204702080_AKC_ModConfig.xml	not mapped to current active item	False	False
Mod_3213994174_DurableSpikeTrapsMod.xml	Durable Spike Traps	True	False
Mod_3238976509_Mod.xml	Sleep Meditation	True	False
Mod_3241577976_VVRaceMod.xml	Vivi Race	True	False
Mod_3245374432_FlavorTextMod.xml	Flavor Text	True	False
Mod_3255379190_ShowHairMod.xml	Show Hair Under Stuff	True	False
Mod_3256974620_Mod_MiliraRace.xml	Milira Race	True	False
Mod_3264193512_AAAAMod.xml	AAAA(Allowed Area Automatic Adapter)	True	False
Mod_3265068668_ModOption.xml	not mapped to current active item	False	False
Mod_3266224389_FufuMod.xml	Mya's fufu	True	False
Mod_3285178686_DefaultsMod.xml	1trickPwnyta's Defaults	True	False
Mod_3290742314_HiddenEnemyBioMod.xml	Hidden Enemy Bio (Continued)	True	False
Mod_3292351432_AxolotlModSettingUI.xml	MoeLotl Race	True	False
Mod_3296362231_IlyvionsLaboratoryMod.xml	ilyvion's Laboratory	True	False
Mod_3296476341_NewsMod.xml	边缘仙路-羽化登仙 RimImmortal-Core[1.6]	True	False
Mod_3296476341_RIMOD.xml	边缘仙路-羽化登仙 RimImmortal-Core[1.6]	True	False
Mod_3300291918_OberoniaAureaGene_Mod.xml	[OA]Ratkin Gene Expand	True	False
Mod_3308877707_XXK_RIMOD.xml	[1.6]边缘仙路-四象之争 RimImmortals-SeasonsOfRule	True	False
