# 加载顺序 pfid  packageId  name(共 258 个工坊 mod)
2009463077  brrainz.harmony  Harmony
818773962  UnlimitedHugs.HugsLib  HugsLib
761421485  UnlimitedHugs.AllowTool  Allow Tool
1541460369  VouLT.BetterPawnControl  Better Pawn Control
3033901359  adaptive.storage.framework  Adaptive Storage Framework
2574315206  imranfish.xmlextensions  XML Extensions
2023507013  OskarPotocki.VanillaFactionsExpanded.Core  Vanilla Expanded Framework
3713589764  OARK.OberoniaAurea.Framework  [OA]Oberonia Aurea Framework
2988801276  Ancot.AncotLibrary  Ancot Library
3665997350  Ariandel.AriandelLibrary  Ariandel Library
2978572782  HaiLuan.CustomQuestFramework  Custom Quest Framework
2552002158  ccl.patchoperation.highlander  PatchOperationHighlander
839005762  erdelf.HumanoidAlienRaces  Humanoid Alien Races
3247685844  EoralMilk.MeowFramework  Meow Framework
3578882219  HAR.MugirlRace  Mugirl Race
3391128917  Mlie.NWNRealFogOfWar  (NWN) Real Fog of War (Continued)
3285178686  defaults.1trickPwnyta  1trickPwnyta's Defaults
3578444636  odysseypatch.1trickPwnyta  1trickPwnyta's Odyssey Patch
3357749890  Arylice.Rimworld.AutomaticStumpChopping  [ARY] Automatic Stump Chopping [1.5 - 1.6]
1508341791  FrozenSnowFox.FilthVanishesWithRainAndTime  [FSF] Filth Vanishes With Rain And Time
2345493945  DerekBickley.LTOColonyGroupsFinal  [LTO] Colony Groups
1635901197  Nals.FacialAnimation  [NL] Facial Animation - WIP
2920337086  Oganesson.Secondary.Immune.Response  [Og] Secondary Immune Response
2883208829  RH2.Faction.VOID  [RH2] Faction: V.O.I.D.
2130957394  RH2.VOID.Storyteller  [RH2] V.O.I.D. Storyteller
3486264784  sbz.NeatStorageFridge  [sbz] Fridge
3416243474  sbz.NeatStorage  [sbz] Neat Storage
3264193512  seekiworksmod.no17  AAAA(Allowed Area Automatic Adapter)
2800155563  Mlie.AllMemoriesFade  All Memories Fade
2426119067  avilmask.AnimalControls  Animal Controls
1098354593  Oblitus.AnimalsLogic  Animals Logic
2059389912  automatic.autolinks  Auto links
3493889625  rabiosus.autoblink  AutoBlink
2011794898  Meltup.BeautifulOutdoors  Beautiful Outdoors
2896613924  InertialMage.BeautyStatMod  Beauty Matters
2982026860  GwinnBleidd.MothballedAndDeadPawns  Better GC: Mothballed and World Pawns
935982361  falconne.BWM  Better Workbench Management
3522759531  RedMattis.BiggerGravship  Bigger Gravships (and other Odyssey spaceship related settings)
2590854091  Udon.BouquetOfLove  Bouquet of Love
3523011187  buildfromstorage.programmerlily.com  Build From Storage
867467808  brrainz.cameraplus  Camera+
3446237098  TOT.CeleTech.MKIII  CeleTech Arsenal MKIII
3503450120  TOT.CeleTech.Sub.FBS  CeleTech Subsonic Disruptor
1874644848  void.charactereditor  Character Editor
3562954061  kirimin.ChatLogOverlay  Chatlog Overlay
2878376981  Udon.ChildbirthPrayer  Child Birth Prayer
3537970831  kearril.ChooseWhereToLand  Choose Where To Land
3566639513  Leo.CleanResearchSort  Clean Research Sort
3227796435  godlyannihilator.CompletelyClueless  Completely Clueless
1235181370  Merthsoft.DesignatorShapes  Designator Shapes
2423311270  Garwel.DestroyItem  Destroy Item
3587277884  HaiLuan.VoidUniverse  Dlc collaboration - Void universe
1896806569  gguake.ai.dsfi  Do Something for Idle
3689911226  assssssqwww.DSFIASQMoreJob  Do Something for Idle - More Actions
1505423207  dracoix.doormat.r12a  Door Mat
1446523594  Dubwise.DubsMintMenus  Dubs Mint Menus
1127530465  Dubwise.Rimatomics  Dubs Rimatomics
3213994174  Thumb.DurableSpikeTraps  Durable Spike Traps
3492954974  trigger.eliteRaid  Elite Raid 精英化袭击
2894401734  SlimeSenpai.EndlessGrowth  EndlessGrowth
3550544871  fxz.glitterworlddestroyer.mk5  Glitterworld Destroyer 5 - Mechanoid Addon
